1,195.201.235.128-8333-1037,218,108,-1,218
2,52.77.221.65-8333-1037,269,265,269,261
3,13.250.37.241-8333-1037,243,243,243
4,112.126.60.78-8333-1033,-1,-1,-1
5,54.184.246.214-8333-1037,-1,-1,-1,-1
6,34.220.31.227-8333-1037,-1,-1,-1
7,198.199.88.23-8333-1037,218,142,-1,209,218
8,207.154.220.194-8333-1037,239,222,219,239,209
9,35.201.193.137-8333-1037,301,278,260,301,272
10,178.79.138.62-8333-1037,-1,-1,-1
11,85.145.79.66-8333-1037,-1,-1,-1
12,188.166.37.219-8333-13,-1,-1,-1,-1
13,89.39.107.219-8333-1037,-1,-1,-1,-1
14,89.163.148.212-8333-1036,-1,-1,-1,-1
15,52.200.0.91-8333-67108873,-1,-1,-1,-1
16,173.208.150.210-8333-1037,-1,-1,-1
17,68.183.130.60-8333-1037,-1,-1,-1
18,69.10.143.103-8333-1037,-1,-1,-1
19,37.120.205.187-8333-1037,-1,-1,-1
20,193.2.76.40-8333-1037,-1,-1,-1
21,72.65.246.83-8333-9,36,12,36,0,0
22,45.79.179.9-8333-1037,-1,-1,-1
23,34.219.199.232-8333-13,-1,-1,-1,-1
24,79.137.115.56-8333-1037,-1,-1,-1
25,47.96.67.121-8333-1037,-1,-1,-1
26,103.84.84.106-8333-1037,-1,-1,-1
27,51.38.41.205-8333-1037,-1,-1,-1
28,211.43.8.168-8333-1037,119,39,-1,119,-1
29,46.55.174.225-8333-1033,-1,-1,-1,-1
30,91.106.188.229-8333-1037,-1,-1,-1
31,18.220.91.12-8333-1037,-1,-1,-1,-1
32,67.205.146.211-8333-1036,108,65,88,108,-1
33,108.64.87.190-8333-1037,-1,-1,-1
34,82.209.232.109-8333-1033,-1,-1,-1,-1
35,52.73.175.120-8333-1037,-1,-1,-1,-1
36,198.54.113.214-8333-1037,-1,-1,-1
37,78.47.117.49-8333-1037,-1,-1,-1
38,95.217.35.79-8333-1037,-1,-1,-1
39,167.71.163.60-8333-1036,-1,-1,-1
40,211.110.66.153-8333-13,-1,-1,-1,-1
41,99.164.139.172-8333-1037,-1,-1,-1
42,47.93.173.17-8333-1037,-1,-1,-1
43,138.68.244.82-8333-73,308,297,308,286
44,72.177.93.30-8333-1037,-1,-1,-1
45,46.229.165.136-8333-1037,-1,-1,-1,-1,-1
46,128.197.128.247-8333-1037,-1,-1,-1
47,51.38.181.78-8333-1033,-1,-1,-1,-1
48,54.39.50.172-8333-1037,-1,-1,-1
49,195.201.12.79-8333-1037,-1,-1,-1,-1
50,185.66.180.33-8333-1037,-1,-1,-1
51,71.82.135.102-8333-1033,-1,-1,-1
52,5.39.78.212-8333-1037,-1,-1,-1
53,31.24.11.139-8333-1033,-1,-1,-1
54,108.21.84.253-8333-1037,-1,-1,-1,-1
55,35.158.253.234-8333-1037,-1,-1,-1,-1
56,170.246.0.185-8333-1037,-1,-1,-1
57,61.193.18.134-8333-1037,-1,-1,-1
58,188.214.128.18-8333-1033,-1,-1,-1,-1,-1
59,116.62.123.162-8333-1037,-1,-1,-1
60,85.75.70.45-8333-1037,-1,-1,-1
61,212.51.139.92-8333-1037,-1,-1,-1
62,213.32.25.91-8333-1036,-1,-1,-1,-1
63,159.69.167.253-8333-1033,-1,-1,-1,-1
64,189.133.199.101-8333-77,-1,-1,-1
65,104.248.165.25-8333-1037,-1,-1,-1,-1
66,3.104.79.97-8333-1037,-1,-1,-1
67,195.154.166.219-8333-1033,111,36,-1,-1,111
68,103.36.92.112-8333-1,68,68,68
69,54.180.99.87-8333-1037,-1,-1,-1,-1
70,173.183.118.158-8333-1037,122,40,-1,-1,122
71,92.42.37.141-8333-1037,-1,-1,-1,-1
72,54.38.237.6-8333-1037,227,224,227,222
73,206.223.153.52-8333-1037,-1,-1,-1
74,75.40.139.200-8333-1033,-1,-1,-1,-1
75,45.63.87.247-8333-1036,155,141,127,155
76,78.141.123.99-8333-1037,120,120,120
77,45.77.168.153-56792-1,240,240,240
78,45.77.217.62-8333-13,-1,-1,-1,-1
79,54.39.133.203-8333-1037,122,122,122
80,75.174.91.217-8333-1037,94,94,94
81,24.218.5.64-8333-1037,-1,-1,-1
82,212.51.136.116-8333-1037,-1,-1,-1
83,47.89.242.60-8333-1037,-1,-1,-1
84,144.76.200.114-8433-1037,87,43,87,-1
85,91.121.86.38-8333-13,-1,-1,-1,-1
86,89.69.221.56-8333-1037,34,34,34
87,18.220.116.30-8333-1033,130,122,130,113
88,204.15.11.4-8333-1037,-1,-1,-1,-1,-1
89,144.91.66.137-6455-1,262,262,262
90,54.38.177.175-8333-1037,-1,-1,-1
91,47.89.190.70-8333-1033,103,95,91,103,91
92,46.101.252.51-8333-1037,-1,-1,-1
93,96.41.204.222-8333-1,80,80,80
94,95.217.32.177-8333-1033,132,32,-1,-1,-1,132
95,73.195.158.44-8333-1037,-1,-1,-1
96,70.173.234.145-8333-1037,-1,-1,-1
97,206.189.32.48-8333-1037,-1,-1,-1
98,86.83.155.244-8333-1037,-1,-1,-1
99,165.227.7.29-8333-77,465,457,447,460,465
100,47.95.213.15-8333-1037,-1,-1,-1
101,77.99.18.51-8333-1037,-1,-1,-1,-1
102,207.180.217.42-8333-1037,-1,-1,-1
103,62.163.119.121-8333-1037,70,70,70
104,199.96.50.211-8333-13,-1,-1,-1
105,13.59.238.218-8333-1037,-1,-1,-1
106,54.144.91.180-8333-1037,-1,-1,-1
107,47.254.152.192-8333-1037,-1,-1,-1
108,82.1.254.100-8333-1037,-1,-1,-1
109,95.216.96.93-8333-1037,-1,-1,-1
110,209.177.86.19-8333-13,-1,-1,-1
111,176.9.38.164-8333-13,-1,-1,-1,-1
112,3.121.94.224-8333-1037,-1,-1,-1
113,217.182.138.68-8333-1037,-1,-1,-1
114,178.63.52.205-8333-1037,-1,-1,-1
115,107.4.30.41-8333-1033,75,74,74,75,74
116,46.4.69.86-8333-1037,-1,-1,-1,-1,-1
117,80.183.11.63-8333-1037,-1,-1,-1
118,47.75.14.219-8333-1037,-1,-1,-1
119,34.249.21.210-8333-12,74,74,74
120,193.111.156.2-8333-1037,-1,-1,-1
121,144.91.67.109-8333-1037,-1,-1,-1
122,5.146.35.92-8333-1033,-1,-1,-1
123,46.23.87.218-8333-1033,152,50,152,-1,-1
124,82.221.111.136-8333-1037,-1,-1,-1,-1
125,174.128.233.34-8333-1037,-1,-1,-1
126,34.205.224.226-8333-1037,-1,-1,-1,-1
127,13.209.200.237-8333-1037,-1,-1,-1
128,109.72.83.127-8333-1036,84,42,84,-1
129,163.172.61.154-8333-13,-1,-1,-1,-1
130,94.23.154.171-8333-77,385,385,385
131,35.209.91.82-8333-13,-1,-1,-1
132,18.221.184.160-8333-1037,-1,-1,-1
133,179.191.112.66-8333-1033,-1,-1,-1,-1
134,5.178.68.215-8333-13,-1,-1,-1,-1
135,50.90.11.208-8333-1037,-1,-1,-1,-1
136,144.76.136.19-8333-1037,161,161,161
137,185.194.143.230-8333-1033,-1,-1,-1
138,212.64.198.41-8333-1033,55,27,55,-1
139,95.216.32.7-8333-1033,-1,-1,-1
140,144.76.164.43-8333-77,220,212,205,220
141,37.205.8.78-8333-1033,-1,-1,-1,-1
142,34.242.254.154-8333-1037,-1,-1,-1
143,188.193.141.123-8333-1037,-1,-1,-1
144,169.0.210.163-8333-1037,57,57,57
145,13.71.136.69-8333-1037,-1,-1,-1
146,83.236.135.251-8333-1037,-1,-1,-1
147,213.174.156.76-8333-1037,-1,-1,-1,-1
148,45.32.166.135-8333-1036,124,124,124
149,167.99.104.19-8333-1037,120,120,120
150,88.119.128.36-8333-1037,-1,-1,-1
151,52.32.1.147-8333-1037,-1,-1,-1
152,188.121.168.69-8333-1,52,52,52
153,184.95.58.162-8333-1037,-1,-1,-1
154,111.248.241.147-8333-1032,30,30,30
155,24.156.88.110-8333-1037,-1,-1,-1
156,185.181.176.246-8333-1037,-1,-1,-1,-1
157,81.171.22.143-8333-1037,148,74,148,-1
158,54.38.237.0-8333-1037,210,104,210,-1
159,213.174.156.75-8333-1037,113,56,-1,113
160,78.157.91.120-8333-1037,-1,-1,-1
161,5.196.102.147-8333-1037,95,95,95
162,213.174.156.82-8333-1037,-1,-1,-1,-1
163,212.77.43.160-8333-1037,-1,-1,-1
164,54.180.141.217-8333-1037,129,42,-1,-1,129
165,178.128.206.59-8333-1037,-1,-1,-1
166,38.111.114.148-8333-1037,-1,-1,-1,-1
167,80.221.253.138-8333-21,85,42,85,-1
168,45.32.200.78-8333-1032,241,241,241
169,58.146.222.198-8333-1033,50,16,50,-1,-1
170,52.51.128.216-8333-1037,-1,-1,-1
171,144.2.80.145-8333-1037,-1,-1,-1
172,46.28.111.64-48539-1032,83,41,83,-1
173,107.180.71.71-8333-1037,-1,-1,-1
174,86.80.62.194-8333-1033,-1,-1,-1,-1
175,75.163.18.213-8333-1033,139,139,139
176,5.196.65.205-8333-1037,-1,-1,-1
177,37.153.1.245-8333-53,80,76,72,80
178,178.61.141.198-8333-1033,125,41,125,-1,-1
179,82.64.57.228-8333-1033,120,120,120
180,113.35.179.92-8333-1037,113,56,113,-1
181,163.172.113.177-8333-13,-1,-1,-1,-1,-1
182,157.245.241.95-8333-1036,85,85,85
183,213.120.37.40-8333-1037,-1,-1,-1
184,188.150.157.11-8333-1037,41,41,41
185,3.82.203.7-8333-1037,79,79,79
186,185.51.61.244-8333-1037,91,91,91
187,5.14.60.221-8333-1037,126,126,126
188,188.166.124.96-8333-1036,-1,-1,-1,-1
189,52.90.253.53-8333-5,0,0,0
190,24.60.139.217-8333-1037,86,86,86
191,95.211.189.3-8333-1037,172,105,172,144,-1
192,185.219.205.72-8333-1037,69,34,-1,69
193,118.163.74.161-8333-1037,-1,-1,-1
194,37.187.3.112-8333-1037,134,66,134,-1
195,73.38.249.5-8333-1037,-1,-1,-1
196,148.251.87.112-8333-1033,-1,-1,-1,-1,-1
197,35.211.147.157-8333-1033,-1,-1,-1,-1,-1
198,160.16.133.38-8333-1037,-1,-1,-1,-1
199,68.183.110.103-8333-1037,-1,-1,-1,-1
200,165.22.69.98-8333-1036,90,44,90,-1
201,109.70.3.226-8333-1033,-1,-1,-1,-1
202,37.59.62.105-8333-1037,-1,-1,-1
203,178.218.216.34-8333-13,135,67,-1,135
204,75.4.53.137-8333-1037,65,32,-1,65
205,70.112.184.246-8333-1033,-1,-1,-1,-1
206,176.9.142.169-8333-1037,-1,-1,-1
207,195.228.75.149-8333-1037,-1,-1,-1
208,24.68.94.168-8333-1037,-1,-1,-1
209,206.183.181.98-8333-1037,-1,-1,-1
210,67.213.201.172-8333-1037,-1,-1,-1
211,217.79.178.20-8333-1037,-1,-1,-1
212,139.59.71.52-8333-1036,128,128,128
213,51.83.252.53-8333-9,416,416,416
214,165.22.154.213-8333-1037,-1,-1,-1
215,111.90.141.75-8333-1033,106,106,106
216,35.204.205.165-8333-1037,-1,-1,-1
217,157.245.167.151-8333-1037,-1,-1,-1
218,174.3.14.10-8333-1037,-1,-1,-1
219,46.233.31.12-8333-1037,73,68,64,73
220,95.216.41.228-8333-1033,-1,-1,-1,-1
221,136.243.204.72-8333-1037,142,140,142,137
222,88.99.209.94-8333-1037,-1,-1,-1
223,61.244.130.108-8333-1033,-1,-1,-1,-1
224,167.86.107.156-8333-1033,88,29,88,-1,-1
225,35.189.254.229-8333-1037,132,124,132,117
